Reference,Property Type,Ad Type,Bedrooms,Bathrooms,Area (sqft),Details,Service Type,Address,Price (AED),DLD Permit Number,Agent ID
VIS.P3152,Apartment,UNVERIFIED,2,3,"1,200",ALJADA |LUXURY 2BHK | PRIME LOCATION | 5%DP,PREMIUM,"Nasaq, Aljada, Sharjah",Ask,,b4b1c048-c91e-4c20-87aa-284c127dad67
BHM-S-119157,Apartment,VERIFIED,1,1,817,Fully Upgraded | VOT | Smart Home,PREMIUM,"Arno A, Arno, The Views, Dubai",1600000,7116728900.0,d0ebc174-1da3-4408-b182-721dcd4ce28d
JVCS-ROBIN-LUMA22-2BR-HT-1,Apartment,UNVERIFIED,2,3,"1,265",High ROI | Smart Home| Luxury Living |Payment Plan,PREMIUM,"Luma 22, Jumeirah Village Circle, Dubai",1342225,,684842c5-6a91-49b3-86c8-0142f9c5d33f
BHM-S-153038,Apartment,VERIFIED,1,1,778,Smart Home | Fully Upgraded | VOT,PREMIUM,"The Fairways North, The Fairways, The Views, Dubai",1795000,7124556900.0,d0ebc174-1da3-4408-b182-721dcd4ce28d
MS-5064,Apartment,VERIFIED,3,3,2061,Sea View | Spacious 3BR with Maid's Rm. | Call Now,PREMIUM,"Apartment Building 2, Bluewaters Residences, Bluewaters, Dubai",14000000,7148944740.0,58626ded-d608-416d-be2d-13eae4b44fbf
vis.db1p,Apartment,UNVERIFIED,1,2,685,Nearest to E311 road and zahia mall PAY 6k MONTHLY,PREMIUM,"Al Mamsha, Muwaileh, Sharjah",Ask,,a8b823d9-c5fc-435f-9a01-65457e8befcd
VIS.4STPP,Villa,UNVERIFIED,4,7,"4,908",last standalone 4BR in masaar phase6|corner unit,PREMIUM,"Sequoia, Masaar, Tilal City, Sharjah",Ask,,a8b823d9-c5fc-435f-9a01-65457e8befcd
VIS.3BNQP,Apartment,UNVERIFIED,3,4,"1,938",LIMITED 3BR IN ALJADA HANDOVER JUN/2024|PAYMENT 5%,PREMIUM,"Nasaq, Aljada, Sharjah",Ask,,a8b823d9-c5fc-435f-9a01-65457e8befcd
vis.arej1bp,Apartment,UNVERIFIED,1,2,881,Take the opportunity in Aljada ready to move 1BHK,PREMIUM,"Areej Apartments, Aljada, Sharjah",Ask,,a8b823d9-c5fc-435f-9a01-65457e8befcd
VIS.4phyan,Townhouse,UNVERIFIED,4,6,"2,566",On E611 townhouse 4BR 1% monthly payment for 6yrs,PREMIUM,"Hayyan, Sharjah",1999000,,a8b823d9-c5fc-435f-9a01-65457e8befcd
VIS.BR1OP,Apartment,UNVERIFIED,1,2,648,pay 6k AED monthly to own 1 beadroom apartment shj,PREMIUM,"Al Mamsha, Muwaileh, Sharjah",Ask,,a8b823d9-c5fc-435f-9a01-65457e8befcd
Vis.NSQ2P,Apartment,UNVERIFIED,2,3,"1,243",2BHK in nasaq aljada sharjah near to madar 12/24,PREMIUM,"Nasaq, Aljada, Sharjah",Ask,,a8b823d9-c5fc-435f-9a01-65457e8befcd
mubarakiya-4984367,Apartment,UNVERIFIED,2,3,"1,400",Sea View | Spacious and elegant | 2 BR | SALE |,PREMIUM,"Lagoon B6, The Lagoons, Mina Al Arab, Ras Al Khaimah",Ask,,4c906df7-f333-4d0b-bbbf-953435372fe8
SALE015403,Villa,VERIFIED,2,4,2692,HUGE 8.1K PLOT / Corner Unit / Quiet Area,PREMIUM,"Arabian Villas, Jumeirah Village Triangle, Dubai",3250000,6511898600.0,59b3483f-b2f8-4efb-ab62-98161360d3d7
DPF-S-31172,Villa,VERIFIED,5,6,14265,Exquisite Modern Villa | Oasis of Luxury,PREMIUM,"Jumeirah Bay Island Villas, Jumeirah Bay Island, Jumeirah, Dubai",105000000,65308894304.0,bcf3257a-767e-4385-b1cd-fb0bb5cfea76
RK 000121,Apartment,VERIFIED,2,3,1332,FULLY FURNISHED | SPACIOUS LAYOUT | BOULEVARD VIEW,PREMIUM,"The Lofts Central, The Lofts, Downtown Dubai, Dubai",2600000,7122183500.0,85823410-1d4c-488e-9751-3c9a0e2b664f
JVC-LD-BLOOM-ST-SL,Apartment,VERIFIED,Studio,1,389,EXCLUSIVE| GREAT INVESTMENT| COMMUNITY VIEW|LUXURY,PREMIUM,"Bloom Heights, Jumeirah Village Circle, Dubai",480000,7148496763.0,84a93e99-ce79-42db-8ffa-679377b299ba
L-199785,Penthouse,VERIFIED,4,5,7401,Penthouse | Upgraded | Breathtaking Views,PREMIUM,"Index Tower, DIFC, Dubai",45000000,755871866.0,c4e87bfa-a1f8-4424-b6cc-d152892c5b26
stellar-4874167,Apartment,UNVERIFIED,1,1,562,Down Payment 20%| 5% Discount| 80%Handover,PREMIUM,"Al Maryah Vista, Al Maryah Island, Abu Dhabi",980000,,73490432-df3c-4368-b3d7-6eb9ad3cd3e3
SP-S-1033,Villa,VERIFIED,5,6,7176,Extended Villa | Large Plot | Vacant,PREMIUM,"District 4B, Jumeirah Village Triangle, Dubai",5600000,6511914300.0,2c89be21-2586-445b-bdc8-5db22444221b
ARJAN-SM-VINCITOREBLVD-FSTD,Apartment,VERIFIED,Studio,1,479,Best Lay-out | Investment Option | Fully Fitted,PREMIUM,"Vincitore Boulevard, Arjan, Dubai",630000,,7fb5e883-9f88-4d68-ba5a-c3cd194d2fc2
RL2941,Apartment,VERIFIED,1,1,801,Exclusive | High ROI | Ready December 2023,PREMIUM,"AZIZI Riviera 3, Meydan One, Meydan, Dubai",1300000,71138289949.0,83e28f8d-0ef2-4c93-993c-300a7342fc3b
royalnest-4749289,Apartment,VERIFIED,2,2,1183,Full Sea View | Mid floor | Great Location,PREMIUM,"5242 Tower 1, 5242, Dubai Marina, Dubai",2950000,7129930256.0,23067768-aebd-4f7f-b47b-793fd280829d
empireheights-3380210,Apartment,VERIFIED,2,3,1120,Rented 02 Series I Furnished I Full Sea views,PREMIUM,"5242 Tower 1, 5242, Dubai Marina, Dubai",3500000,7129930528.0,8b5d79f8-4d28-43be-a256-a7666327b0c3
empireheights-5034542,Apartment,VERIFIED,1,2,978,Fendi Design | Rented Top Floor | Full Marina View,PREMIUM,"Damac Heights, Dubai Marina, Dubai",2500000,7116765824.0,8b5d79f8-4d28-43be-a256-a7666327b0c3
L-175838,Villa,VERIFIED,4,3,2524,Upgraded | Corner Plot | Exclusive | VOT,PREMIUM,"Mira 2, Mira, Reem, Dubai",3150000,6917138689.0,905c82f4-7375-4b96-9b4b-06b50dc3094b
100percentproperty-4840851,Villa,VERIFIED,4,4,2979,SUPERB Fully Upgraded | Brand New | Modern Villa,PREMIUM,"Royal Park, Jumeirah Park, Dubai",4200000,69294557545.0,38c3e84e-6c3d-4c2e-9a6f-348fdfb78c24
JGE210041,Townhouse,VERIFIED,3,3,4889,Great Location | Park Backing | Standard,PREMIUM,"Townhouses Area, Green Community East, Green Community, Dubai",3600000,6968377880.0,d810555a-e7eb-4fb3-bdac-4e01dcf49f53
AP-S-25837,Apartment,VERIFIED,3,5,1946,Exclusive 3BR+M | Beachfront | Marina Skyline View,PREMIUM,"Sunrise Bay, EMAAR Beachfront, Dubai Harbour, Dubai",7500000,71164270638.0,24c39605-4b64-4be3-9ce5-faa1aa378545
DOW230204,Apartment,VERIFIED,2,3,1098,High Floor | Vacant | Brand New | Corner Unit,PREMIUM,"Address Harbour Point, Dubai Creek Harbour (The Lagoons), Dubai",3399995,7178709698.0,c03e3819-61d3-448e-a7d1-5b3b89e0ca85
rapiddeals-4948427,Townhouse,VERIFIED,3,4,1943,Ready to move in Brand New 3BR+M @ Spring,PREMIUM,"Spring, Arabian Ranches 3, Dubai",2250000,69274683992.0,f20795db-b631-46a0-b0a2-ab9cb149eeb8
agco-4959608,Apartment,VERIFIED,1,1,644,Water View | Investor Deal | High Floor | High ROI,PREMIUM,"Harbour Views 2, Dubai Creek Harbour (The Lagoons), Dubai",1300000,6513756401.0,6842a96b-431f-4348-87db-6ba5ea95774d
amberhomes-4939605,Townhouse,VERIFIED,3,4,1383,Upgraded | Single Row | Closed Kitchen,PREMIUM,"Sun, Arabian Ranches 3, Dubai",2350000,69248769812.0,991e8dbe-fe61-42d7-8203-2a6f30b62a30
DB-S-39723,Apartment,VERIFIED,1,2,1979,luxury unit/Massive garden/Large layout,PREMIUM,"Serenia Residences North, Serenia Residences The Palm, Palm Jumeirah, Dubai",4250000,7121082432.0,ed3f10f4-2976-4dda-88a5-d47df546b032
VIS.ZH1541,Apartment,UNVERIFIED,1,2,720,PAY 6490 PER MONTH| PRIME LOCATION | 5% DP,PREMIUM,"Al Mamsha, Muwaileh, Sharjah",Ask,,0dbe2975-7df1-42c3-8de1-72c1309649a7
VIS.ZH1752,Villa,UNVERIFIED,3,4,"2,365",3BR VILLA |CRYSTAL LAGOON VIEW | 6yrs PP|1%MONTHLY,PREMIUM,"Barashi, Al Badie, Sharjah",Ask,,0dbe2975-7df1-42c3-8de1-72c1309649a7
axc-3962765,Villa,VERIFIED,5,7,5003,Ready | Custom Built | Corner plot | Modern Finish,PREMIUM,"Nad Al Sheba Gardens, Nad Al Sheba 1, Nadd Al Sheba, Dubai",13000000,65184058918.0,1257d4e4-6d9d-46b7-9158-6e53cbcd5fc6
MB-S-2703,Apartment,VERIFIED,3,4,2184,Exclusive | Burj and Fountain View | High Floor,PREMIUM,"The Address The BLVD, Downtown Dubai, Dubai",9770900,7117460477.0,263c9e38-aa47-4b95-ae49-8f113a9b5148
SALE015594,Apartment,VERIFIED,1,1,809,Brand New + Ready / High Floor / Water View,PREMIUM,"La Rive 2, La Mer, Jumeirah, Dubai",2100000,71248638394.0,2b9a200f-0f0a-490d-8a4d-3934bb18e96c
DUB201024,Villa,VERIFIED,5,6,4283,CLOSE TO THE POOL | HUGE PLOT | MUST SEE,PREMIUM,"Sidra Villas II, Sidra Villas, Dubai Hills Estate, Dubai",10750000,6544018015.0,341eae25-4f01-4c08-94a6-6a1fb39b5b7c
VIS.ZH761,Villa,UNVERIFIED,5,8,"6,610",Book Now 5%DP|5BR Villa with 4.99M |Pay 1% monthly,PREMIUM,"Hayyan, Sharjah",Ask,,0dbe2975-7df1-42c3-8de1-72c1309649a7
VIS.ZGAD164,Apartment,UNVERIFIED,1,2,891,1BR New Downtown Sharjah|near airport |university|,PREMIUM,"Tiraz, Naseej District, Aljada, Sharjah",Ask,,0dbe2975-7df1-42c3-8de1-72c1309649a7
VIS.ZH261,Villa,UNVERIFIED,5,8,"6,611",5BR|250K DP|SMART|FAMILY COMMUNITY| LAGOON VIEW|,PREMIUM,"Hayyan, Sharjah",Ask,,0dbe2975-7df1-42c3-8de1-72c1309649a7
VIS.ZH1061,Villa,UNVERIFIED,3,4,"2,366",3BR VILLA|EASY PAYMENT 5%|LIMITED UNITS|BEST VIEW,PREMIUM,"Hayyan, Sharjah",Ask,,0dbe2975-7df1-42c3-8de1-72c1309649a7
VIS.ZMA3152,Apartment,UNVERIFIED,1,2,629,OWN NOW IN THE LUXURY Building Sharjah city walk,PREMIUM,"Al Mamsha, Muwaileh, Sharjah",Ask,,0dbe2975-7df1-42c3-8de1-72c1309649a7
VIS.ZMS862,Townhouse,UNVERIFIED,4,6,"3,166",own your future home in heart of Sharjah forests,PREMIUM,"Sequoia, Masaar, Tilal City, Sharjah",Ask,,0dbe2975-7df1-42c3-8de1-72c1309649a7
1393-1,Apartment,UNVERIFIED,Studio,1,415,Best Offer| Furnished Studio | Gated Community,PREMIUM,"MAG Eye, District 7, Mohammed Bin Rashid City, Dubai",660000,1173285477.0,3138d115-6c7f-4365-bd94-d03d57001803
luxus-4928019,Apartment,VERIFIED,3,4,3489,FULLY FURNISHED - SEA VIEW - UPGRADED,PREMIUM,"One at Palm Jumeirah, Palm Jumeirah, Dubai",29000000,7117752881.0,54b78f93-fc35-402e-aafd-0974895f73f3
PAL230343,Apartment,VERIFIED,2,2,1746,New to Market | Upgraded | Marina View,PREMIUM,"Marina Residences 1, Marina Residences, Palm Jumeirah, Dubai",3200000,7124591400.0,f3601b86-c93d-4a6c-8e7b-a17f1ea1ef80
ALHP-S-3187,Apartment,VERIFIED,2,2,1269,Golf & Lake View | Tenanted | High ROI,PREMIUM,"Golf Tower 1, Golf Towers, The Views, Dubai",1999990,7118605300.0,f99ac408-f950-4864-b7c2-f7108bc4dff3
BBP-S-1943,Villa,VERIFIED,5,6,5500,Brand New Contemporary Custom Family Villa,PREMIUM,"Hacienda, The Villa, Dubai",10000000,6528035900.0,f0c36b7c-3dce-4902-ad00-adef4db4645c
DB-S-38907,Apartment,VERIFIED,2,3,1337,Furnished 2 Beds I City View I High End Finish,PREMIUM,"MBL Residences, Jumeirah Lake Towers, Dubai",2200000,6512321900.0,390bb6bc-0e2d-4a20-b31b-ca62ed566323
uaere-3679991,Apartment,VERIFIED,2,3,1414,Bright and Spacious | Well Maintained | Old Town,PREMIUM,"Zanzebeel 1, Zanzebeel, Old Town, Dubai",2800000,7122015500.0,9a3ff19b-31ea-4e5f-9f7f-78d29fe306a1
aburamirealestateinvestmentllc-4899095,Villa,UNVERIFIED,5,7,"3,200",New villa for sale stone facade personal finishing,PREMIUM,"Al Yasmeen 1, Al Yasmeen, Ajman",Ask,,eb5cefdd-a245-4322-bbdc-139765ccbb15
AQ-S-23-00567,Villa,VERIFIED,2,4,1856,Type D+ Unit | Owner Occupied | Landscaped,PREMIUM,"Casa Dora, Serena, Dubai",1800000,6942986730.0,d3513f64-96c9-478c-9464-4a319f8fedc0
Meadows3-T9,Villa,VERIFIED,6,5,4924,PRIME LOCATION | SWIMMING POOL |TYPE 9|6 BR+S+M,PREMIUM,"Meadows 3, Meadows, Dubai",Ask,71146604643.0,e04a5a22-18d4-4c40-b313-71a86a895aed
RL2937,Townhouse,VERIFIED,3,4,2017,Luxury Living | Handover Soon | Near To Park,PREMIUM,"MAG Eye, District 7, Mohammed Bin Rashid City, Dubai",2800000,69353825606.0,03a38123-034b-42d3-a84f-262248520675
orangeliferealestate-4981074,Apartment,VERIFIED,1,1,692,Fully Upgraded | Fixed ROI | No Commission,PREMIUM,"DMS Building, Jumeirah Village Circle, Dubai",887412,71320250660.0,2e6bf957-d79e-4c16-a578-8bb01b48e367
JVC-AW-B/J-01BR-FF-SL,Apartment,VERIFIED,1,2,729,LUXURY 01 BR|FULLY FURNISHED|BRAND NEW|HOT DEAL,PREMIUM,"Binghatti Jasmine, Jumeirah Village Circle, Dubai",850000,71411458576.0,84a93e99-ce79-42db-8ffa-679377b299ba
PB-S-0257,Apartment,VERIFIED,3,4,1860,Exclusive | Sea View | 3BR Brand New,PREMIUM,"Jumeirah Gate Tower 1, The Address Jumeirah Resort and Spa, Jumeirah Beach Residence, Dubai",7999999,7135246318.0,cfe35b73-e877-4f0b-b7a6-7f234fbc7263
EPS-S-2477,Apartment,VERIFIED,2,2,1327,Fully Furnished|Exclusive|Beach and Sea View!,PREMIUM,"La Cote, La Mer, Jumeirah, Dubai",3390000,71220401668.0,2c3ab38c-1676-42d6-b635-2dc6a0d744c6
L-146990,Apartment,VERIFIED,3,4,2328,Large 3 Beds + Maid | Marina View | Vacant October,PREMIUM,"Trident Bayside, Dubai Marina, Dubai",3400000,7126724700.0,dde456be-34b3-4723-94fc-2a65fcb27b92
PF-AS-88091,Apartment,UNVERIFIED,1,1,800,Panoramic View | Payment plan | close to OP,PREMIUM,"Bluewaters Bay, Bluewaters, Dubai",3100000,71462999513.0,e01f76fe-d54d-4a96-9256-a0c2c1b48ddc
ES-21631,Townhouse,VERIFIED,4,3,2900,Upgraded Type 2E Villa | VOT | Lake View,PREMIUM,"Al Reem 3, Al Reem, Arabian Ranches, Dubai",4500000,6914624900.0,23fc93bd-225c-46dd-a951-0c1b2423f7b7
JVC-USA-BLMHEGHT-STD,Apartment,VERIFIED,Studio,1,397,Elegant Studio | Marina View | Best for Investment,PREMIUM,"Bloom Heights, Jumeirah Village Circle, Dubai",495000,,629dfa34-b1c2-4651-b82c-e14e770397f2
nshcollc-4833783,Apartment,UNVERIFIED,Studio,1,360,Exclusive/Resell/save120k /First Owner/ No commission,PREMIUM,"Al Zahia 4, Al Zahia, Muwaileh Commercial, Sharjah",415000,,ba29bba3-085a-4a74-bd74-8d75e9109f49
nshcollc-4836171,Apartment,UNVERIFIED,1,1,630,Exclusive/Resell/save170k /First Owner/ No commission,PREMIUM,"Al Zahia 4, Al Zahia, Muwaileh Commercial, Sharjah",660000,,ba29bba3-085a-4a74-bd74-8d75e9109f49
BRJ-S-5190,Apartment,VERIFIED,2,2,1329,Vacant High Floor Full Sea View Near Metro Station,PREMIUM,"La Riviera, Dubai Marina, Dubai",1550000,7118525100.0,e47a9364-07f2-4668-9e8e-38f7a37b6982
AP7276,Apartment,VERIFIED,1,1,488,Brand New | One Bedroom | Fully Furnished,PREMIUM,"Collective, Dubai Hills Estate, Dubai",1200000,71203129400.0,69b929f0-bce4-4a6d-b1c0-fcf08ac91b93
MCS-2567,Apartment,VERIFIED,2,3,1160,Sea View | Irresistible Unit | Premium Lifestyle,PREMIUM,"Saadiyat Grove, Saadiyat Cultural District, Saadiyat Island, Abu Dhabi",2800000,,6ba07f02-8990-44cc-99ea-49ab963eab16
axc-3963059,Apartment,VERIFIED,3,5,2048,High Floor | Newly Furnished | High ROI | Vacant,PREMIUM,"Al Fattan Marine Tower, Al Fattan Marine Towers, Jumeirah Beach Residence, Dubai",4450000,71265975412.0,db002d8d-dc01-49ea-8cc1-6c9a1ba1fb76
nshcollc-4836410,Apartment,UNVERIFIED,Studio,1,360,Exclusive/Resell/Free hold /First Owner/ No commission,PREMIUM,"Al Zahia 3, Al Zahia, Muwaileh Commercial, Sharjah",399000,,ba29bba3-085a-4a74-bd74-8d75e9109f49
TIRAZ 2BR 7-6,Apartment,UNVERIFIED,2,3,"1,155",2BHK | ALJADA | SHARJAH DOWNTOWN| 5% DP | FREEHOLD,PREMIUM,"Tiraz, Naseej District, Aljada, Sharjah",Ask,,44c19887-9b4b-41a9-a74c-95a88248e775
HAYAAN 4BR TH 11-6,Townhouse,UNVERIFIED,4,5,"2,566",ENJOY LAGOON LIFE | 4BR TH | 6 YRS P.PLAN | 5% DP,PREMIUM,"Hayyan, Sharjah",Ask,,44c19887-9b4b-41a9-a74c-95a88248e775
MASAAR 5BR 3-5,Villa,UNVERIFIED,5,8,"6,560","5BR VILLA G+2 WITH POOL , ROOF AND LIFT | 5% DP",PREMIUM,"Sequoia, Masaar, Tilal City, Sharjah",Ask,,44c19887-9b4b-41a9-a74c-95a88248e775
MAMSHA 1BR 30-5,Apartment,UNVERIFIED,1,2,954,LUXURY COMMUNITY |1BHK READY TO MOVE| 3YRS P.P,PREMIUM,"Al Mamsha, Muwaileh, Sharjah",Ask,,44c19887-9b4b-41a9-a74c-95a88248e775
MAMSHA 2BHK 5-5,Apartment,UNVERIFIED,2,3,"1,300",CHANCE | 2BHK | 8 YRS PLAN | 10% DP |1% X 90 MONTH,PREMIUM,"Al Mamsha, Muwaileh, Sharjah",Ask,,44c19887-9b4b-41a9-a74c-95a88248e775
MASAAR 5BR 22-5,Villa,UNVERIFIED,5,8,"6,560",HUGE 5BR VILLA WITH POOL AND LIFT |5% DP |FREEHOLD,PREMIUM,"Sequoia, Masaar, Tilal City, Sharjah",Ask,,44c19887-9b4b-41a9-a74c-95a88248e775
HAYYAN 6BR 27-5,Villa,UNVERIFIED,6,8,"6,900",ON CRYSTAL LAGOON | 6BR MANSION | 5%DP | 6 YRS P.P,PREMIUM,"Hayyan, Sharjah",Ask,,44c19887-9b4b-41a9-a74c-95a88248e775
MAMSHA 2BR 20-5,Apartment,UNVERIFIED,2,3,"1,400",READY SOON | 2BHK | HIGH ROI | 4 YRS P.P|10 % DP,PREMIUM,"Al Mamsha, Muwaileh, Sharjah",Ask,,44c19887-9b4b-41a9-a74c-95a88248e775
MASAAR 3BD TH 20-5,Villa,UNVERIFIED,3,5,"2,400",NEW LAUNCH | 3 BR TH CORNER | 5% DP | FREEHOLD,PREMIUM,"Sequoia, Masaar, Tilal City, Sharjah",Ask,,44c19887-9b4b-41a9-a74c-95a88248e775
THEGATE-1BR-31/5/23,Apartment,UNVERIFIED,1,2,740,1BHK THE GATE ALJADA | PREMIUM DESIGN | 5% DP,PREMIUM,"The Gate, Aljada, Sharjah",Ask,,44c19887-9b4b-41a9-a74c-95a88248e775
yakout8892,Apartment,UNVERIFIED,1,2,750,1st branded ROVE in Sharjah- 5% DP - Smart System,PREMIUM,"Rove Home, Aljada, Sharjah",Ask,,fbebdaec-40c0-43e9-9f06-7a17e4a5be52
SUS 5BR 16-5,Villa,UNVERIFIED,5,6,"4,508",5BR CORNER VILLA | ALMOST READY | 10% DP |FREEHOLD,PREMIUM,"Sharjah Sustainable City, Sharjah",Ask,,44c19887-9b4b-41a9-a74c-95a88248e775
BB2023-HK-MEDORE-2BR,Apartment,UNVERIFIED,2,3,"1,520",Super Luxury | Prime Location |Lake View| Balcony,PREMIUM,"Me Do Re Tower, Jumeirah Lake Towers, Dubai",3326000,,fb346a79-0cd0-4026-b980-e7efa9de8703
SOKON 2BR 16-5,Apartment,UNVERIFIED,2,3,"1,190",2BHK IN ALJADA | PERFECT VIEW | DOWNTOWN |5% DP,PREMIUM,"Sokoon, Naseej District, Aljada, Sharjah",Ask,,44c19887-9b4b-41a9-a74c-95a88248e775
HAYYAN 3BR 16-5,Villa,UNVERIFIED,3,5,"2,200",3BR VILLA |CRYSTAL LAGOON | 6 YRS PLAN | 1%MONTHLY,PREMIUM,"Barashi, Al Badie, Sharjah",Ask,,44c19887-9b4b-41a9-a74c-95a88248e775
BB2023-HK-ALHABTOOR-3BR,Apartment,UNVERIFIED,3,4,"1,968",Luxurious | Skyline Views of Dubai | Payment Plan,PREMIUM,"Meera, Al Habtoor City, Business Bay, Dubai",4662357,,fb346a79-0cd0-4026-b980-e7efa9de8703
MASAAR 5BR 14-5,Villa,UNVERIFIED,5,8,"6,900",LUXURY LIFESTYLE |5BR VILLA G+2 WITH POOL | 5% DP,PREMIUM,"Sequoia, Masaar, Tilal City, Sharjah",Ask,,44c19887-9b4b-41a9-a74c-95a88248e775
BB2023-HK-OPAL-4BRT,Townhouse,UNVERIFIED,4,5,"4,850",Gated Community | Amazing View | Townhouse,PREMIUM,"Opal Gardens, District 11, Mohammed Bin Rashid City, Dubai",5891880,,fb346a79-0cd0-4026-b980-e7efa9de8703
BB2023-HK-CANALCROWN-2BR,Apartment,UNVERIFIED,2,3,"1,292",Water Front| Stylish Layout| Branded |Payment Plan,PREMIUM,"Canal Crown, Business Bay, Dubai",3483000,426116707.0,fb346a79-0cd0-4026-b980-e7efa9de8703
mubarakiya-4716300,Villa,UNVERIFIED,3,4,"3,250",Stunningly 3BR+Maids room - Malibu Villa for Sale,PREMIUM,"Malibu, Mina Al Arab, Ras Al Khaimah",Ask,,4c906df7-f333-4d0b-bbbf-953435372fe8
Mahmoud 1,Villa,UNVERIFIED,5,7,"3,200",For sale in front of Al-Rahmaniyah without down,PREMIUM,"Al Yasmeen 1, Al Yasmeen, Ajman",1150000,,d4691638-22d8-4f03-8018-4bcef50e38b9
LHD-S-1379,Apartment,VERIFIED,2,2,1130,Multiple Options | Fully Furnished | Highest ROI,PREMIUM,"5242 Tower 2, 5242, Dubai Marina, Dubai",3000000,7129931869.0,1c49307e-54c4-4b33-bdfa-b5508c7632d4
PP-S-1983,Townhouse,VERIFIED,3,2,1942,Best valued | Modern | Awesome amenities,PREMIUM,"Joy, Arabian Ranches 3, Dubai",2150000,69250316428.0,fd119f2a-7976-4385-b0c1-ee595bec012a
BI-S-20-4021,Apartment,VERIFIED,2,2,940,Pool View | Spacious | Great Deal | Vacant,PREMIUM,"Hayat Boulevard, Town Square, Dubai",820000,7131041215.0,39234ab5-dce2-4e7c-929c-71b070d63c63
PB-S-1805,Apartment,VERIFIED,2,3,994,Genuine Resale | Full Park View | Brand New | 2 Bed,PREMIUM,"Park Field, Dubai Hills Estate, Dubai",2150000,71419492920.0,ee7261b4-2c34-4929-82f2-11dd6153490a
PJM181563,Duplex,VERIFIED,3,3,2238,High End Duplex | Fully Upgraded | Furnished,PREMIUM,"Sadaf 4, Sadaf, Jumeirah Beach Residence, Dubai",3900000,,2ddbf58b-6c87-46f9-bca8-fcae55572af1
VIS.P256,Apartment,UNVERIFIED,2,3,"1,200",10k per a month For 8yrs near to alzahia mall |AUS,PREMIUM,"Al Mamsha, Muwaileh, Sharjah",Ask,,b4b1c048-c91e-4c20-87aa-284c127dad67
VIS.P216,Villa,UNVERIFIED,5,7,"6,065",Own Smart 5BR-Best Project in Sharjah-Private Pool,PREMIUM,"Sequoia, Masaar, Tilal City, Sharjah",Ask,,b4b1c048-c91e-4c20-87aa-284c127dad67
VIS.P275,Apartment,UNVERIFIED,1,2,600,Do not Miss Our Offer| 6 Years PP |Beside Alzahia,PREMIUM,"Al Mamsha, Muwaileh, Sharjah",Ask,,b4b1c048-c91e-4c20-87aa-284c127dad67
VIS.P1106,Apartment,UNVERIFIED,1,2,882,SHJ Boulevard-CHANCE-1BHK READY TO MOVE-ROI,PREMIUM,"Areej Apartments, Aljada, Sharjah",Ask,,b4b1c048-c91e-4c20-87aa-284c127dad67
VIS.P3151,Apartment,UNVERIFIED,2,3,"1,200",Smart 2BR - 90 Months Installments -No Bank - 5%DP,PREMIUM,"Al Mamsha, Muwaileh, Sharjah",Ask,,b4b1c048-c91e-4c20-87aa-284c127dad67
mth-4982454,Apartment,VERIFIED,3,4,1471,Luxurious Apartment | Exclusive | Prime Location,PREMIUM,"Binghatti Crescent, Jumeirah Village Circle, Dubai",1900000,71471394343.0,e708978c-1ed9-4a89-8b91-f6b7a8d60830
VIS.P1116,Apartment,UNVERIFIED,1,2,808,Own 1BR With Private Garden Like Villas-1% Monthly,PREMIUM,"Al Mamsha, Muwaileh, Sharjah",Ask,,b4b1c048-c91e-4c20-87aa-284c127dad67
VIS.P46,Townhouse,UNVERIFIED,4,6,"2,360",Great investment townhouse| limited units| 131K DP,PREMIUM,"Sequoia, Masaar, Tilal City, Sharjah",Ask,,b4b1c048-c91e-4c20-87aa-284c127dad67
ES-17910,Apartment,VERIFIED,2,2,988,Exclusive | Upgraded 2 Beds | High Floor,PREMIUM,"Park Ridge Tower C, Park Ridge, Dubai Hills Estate, Dubai",2650000,71135886913.0,a9d05cb7-99da-4188-a3f9-c294f7e59d97
valoremrealestatebrokers-3960473,Apartment,UNVERIFIED,1,2,"1,007",Luxury Living -Easy Payment Plan- Madinat Jumeirah,PREMIUM,"Jomana, Madinat Jumeirah Living, Umm Suqeim, Dubai",Ask,365988206.0,fc8d7d32-782e-4d57-a986-62e26324a503
BHM-S-571810,Villa,VERIFIED,8,8,14000,Modern Villa | 9 Beds | Great Location | GCC only,PREMIUM,"Al Barsha 3 Villas, Al Barsha 3, Al Barsha, Dubai",18500000,6576317000.0,97e43ef2-e462-418c-afe6-1102b64d98c1
valoremrealestatebrokers-5042877,Apartment,UNVERIFIED,2,3,"1,483",NO EXTRA CHARGES - 10 YEARS GOLDEN VISA INCLUDED,PREMIUM,"LIV Residence, Dubai Marina, Dubai",3488989,1441882295.0,fc8d7d32-782e-4d57-a986-62e26324a503
FID-S-010158,Townhouse,VERIFIED,4,3,2275,Single Row | Park facing | DAMAC Lagoons,PREMIUM,"Malta, Damac Lagoons, Dubai",2200000,65418083061.0,b073d7de-2232-418a-b3d6-28b312ce863d
SUP168229,Apartment,VERIFIED,1,2,932,1 Bed | Upgraded | Extra Room | Tenanted,PREMIUM,"Southwest Apartments, Green Community West, Green Community, Dubai",775000,,9e48dd57-368f-495c-bea4-7aec637485aa
mubarakiya-4987962,Apartment,UNVERIFIED,2,3,923,Beachside and Partial Sea View | 2BR | Sale,PREMIUM,"Pacific Bora Bora, Pacific, Al Marjan Island, Ras Al Khaimah",Ask,,4c906df7-f333-4d0b-bbbf-953435372fe8
